name,description,hash,fileName,fileState
AsrDrv103.sys,MS Recommended Driver Block Rule - 10.0.25880.0,B6BF2460E023B1005CC60E107B14A3CFDF9284CC378A086D92E5DCDF6E432E2C,,ban
AsrDrv103.sys,MS Recommended Driver Block Rule - 10.0.25880.0,490F85E291C4D9ED0AB8457CE6B424C0F3F7E7AC,,ban
AsrDrv103.sys,MS Recommended Driver Block Rule - 10.0.25880.0,E22B7BA6D064C75913C3BDADAF7AADA535DDDD83175D8A47467FED5ABC56D5AC,,ban
asrdrv104 - 4bf974f5d3489638a48ee508b4a8cfa0f0262909778ccdd2e871172b71654d89,MS Recommended Driver Block Rule - 10.0.25880.0,6C1BB3A72EBFB5359B9E22CA44D0A1FF825A68F2,,ban
asrdrv104 - 4bf974f5d3489638a48ee508b4a8cfa0f0262909778ccdd2e871172b71654d89,MS Recommended Driver Block Rule - 10.0.25880.0,904D8D0DB7B3ED747ECFBB04386DFBE23B71FFD054F32AB17F65BC17D500F730,,ban
asrdrv104 - 4bf974f5d3489638a48ee508b4a8cfa0f0262909778ccdd2e871172b71654d89,MS Recommended Driver Block Rule - 10.0.25880.0,E039C9DD21494DBD073B4823FC3A17FBB951EC6C,,ban
asrdrv104 - 4bf974f5d3489638a48ee508b4a8cfa0f0262909778ccdd2e871172b71654d89,MS Recommended Driver Block Rule - 10.0.25880.0,F292E6AADD8CB18DFC59A6B6734B5F68262E09BF1DFDB44CC2F70DF176C85F72,,ban
asrdrv104 - 53bb076e81f6104f41bc284eedae36bd99b53e42719573fa5960932720ebc854,MS Recommended Driver Block Rule - 10.0.25880.0,7EEC3A1EDF3B021883A4B5DA450DB63F7C0AFEEB,,ban
asrdrv104 - 53bb076e81f6104f41bc284eedae36bd99b53e42719573fa5960932720ebc854,MS Recommended Driver Block Rule - 10.0.25880.0,3F44442F56F2CEB6213FCE103466862AC750FB99038030003C1B42DA35A43A83,,ban
asrdrv104 - 53bb076e81f6104f41bc284eedae36bd99b53e42719573fa5960932720ebc854,MS Recommended Driver Block Rule - 10.0.25880.0,E5021A98E55D514E2376AA573D143631E5EE1C13,,ban
asrdrv104 - 53bb076e81f6104f41bc284eedae36bd99b53e42719573fa5960932720ebc854,MS Recommended Driver Block Rule - 10.0.25880.0,2B02B3C4F298B2B4F0B7A6714CD28B0410C1430AE6FF798056CB27EED90DD424,,ban
asrdrv104 - 6ed35f310c96920a271c59a097b382da07856e40179c2a4239f8daa04eef38e7,MS Recommended Driver Block Rule - 10.0.25880.0,729A8675665C61824F22F06C7B954BE4D14B52C4,,ban
asrdrv104 - 6ed35f310c96920a271c59a097b382da07856e40179c2a4239f8daa04eef38e7,MS Recommended Driver Block Rule - 10.0.25880.0,6ED35F310C96920A271C59A097B382DA07856E40179C2A4239F8DAA04EEF38E7,,ban
asrdrv104 - d20d8bf80017e98b6dfc9f6c3960271fa792a908758bef49a390e2692a2a4341,MS Recommended Driver Block Rule - 10.0.25880.0,2B4D0DEAD4C1A7CC95543748B3565CFA802E5256,,ban
asrdrv104 - d20d8bf80017e98b6dfc9f6c3960271fa792a908758bef49a390e2692a2a4341,MS Recommended Driver Block Rule - 10.0.25880.0,E6A2AC52A35D470DC336BAE5C48A2EBF2D80519BFD57B703DA6CE00DDD12163A,,ban
asrdrv104 - d20d8bf80017e98b6dfc9f6c3960271fa792a908758bef49a390e2692a2a4341,MS Recommended Driver Block Rule - 10.0.25880.0,4A7D66874A0472A47087FABAA033A85D47413379,,ban
asrdrv104 - d20d8bf80017e98b6dfc9f6c3960271fa792a908758bef49a390e2692a2a4341,MS Recommended Driver Block Rule - 10.0.25880.0,C1FE339D15E5D59F9613688B85F9B627E72ED8ED3EFC53F9DD0CD7A7F0C55133,,ban
AsrSetupDrv103 - 9d9346e6f46f831e263385a9bd32428e01919cca26a035bbb8e9cb00bf410bc3,MS Recommended Driver Block Rule - 10.0.25880.0,0B6EC2AEDC518849A1C61A70B1F9FB068EDE2BC3,,ban
AsrSetupDrv103 - 9d9346e6f46f831e263385a9bd32428e01919cca26a035bbb8e9cb00bf410bc3,MS Recommended Driver Block Rule - 10.0.25880.0,399EFFE75D32BDAB6FA0A6BFFE02DBF0A59219D940B654837C3BE1C0BD02E9AA,,ban
AsrSetupDrv103 - 9d9346e6f46f831e263385a9bd32428e01919cca26a035bbb8e9cb00bf410bc3,MS Recommended Driver Block Rule - 10.0.25880.0,461882BD59887617CADC1C7B2B22D0A45458C070,,ban
AsrSetupDrv103 - 9d9346e6f46f831e263385a9bd32428e01919cca26a035bbb8e9cb00bf410bc3,MS Recommended Driver Block Rule - 10.0.25880.0,27CD05527FEB020084A4A76579C125458571DA8843CDFC3733211760A11DA970,,ban
AsrSetupDrv103 - a0728184caead84f2e88777d833765f2d8af6a20aad77b426e07e76ef91f5c3f,MS Recommended Driver Block Rule - 10.0.25880.0,A7948A4E9A3A1A9ED0E4E41350E422464D8313CD,,ban
AsrSetupDrv103 - a0728184caead84f2e88777d833765f2d8af6a20aad77b426e07e76ef91f5c3f,MS Recommended Driver Block Rule - 10.0.25880.0,7AAF2AA194B936E48BC90F01EE854768C8383C0BE50CFB41B346666AEC0CF853,,ban
AsrSetupDrv103 - a0728184caead84f2e88777d833765f2d8af6a20aad77b426e07e76ef91f5c3f,MS Recommended Driver Block Rule - 10.0.25880.0,F3CCE7E79AB5BD055F311BB3AC44A838779270B6,,ban
